https://fr.wikipedia.org/wiki/Robot
https://fr.wikipedia.org/wiki/Robot_de_cuisine
fr.wikipedia.org/wiki/Robot_d%27indexation
https://fr.wikipedia.org/wiki/Bot_informatique
https://fr.wikipedia.org/wiki/Atlas_(robot)
https://roboty.magistry.fr
https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)
https://fr.wiktionary.org/wiki/robot
https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots
https://fr.wikipedia.org/wiki/Robotique
1	https://fr.wikipedia.org/wiki/Robot	   13928	200	UTF-8
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	    4134	200	UTF-8
3	fr.wikipedia.org/wiki/Robot_d%27indexation	       0	301	inconnu
4	https://fr.wikipedia.org/wiki/Bot_informatique	    6544	200	UTF-8
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	     264	200	utf-8
6	https://roboty.magistry.fr	       0	000	inconnu
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	     264	429	utf-8
8	https://fr.wiktionary.org/wiki/robot	   17789	429	utf-8
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	     264	429	utf-8
10	https://fr.wikipedia.org/wiki/Robotique	     264	429	utf-8
